"Fact","Fact Note","Clinton County, New York","Value Note for Clinton County, New York","Otsego County, New York","Value Note for Otsego County, New York","Montgomery County, New York","Value Note for Montgomery County, New York","Fulton County, New York","Value Note for Fulton County, New York","Hamilton County, New York","Value Note for Hamilton County, New York","Essex County, New York","Value Note for Essex County, New York"
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","84.8%","","87.0%","","89.1%","","89.8%","","94.1%","","87.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","5.8%","","6.0%","","12.5%","","2.6%","","1.5%","","6.3%",""
"Households with a computer, percent, 2017-2021","","91.2%","","90.2%","","86.2%","","89.2%","","89.2%","","90.5%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","84.2%","","83.0%","","79.2%","","81.9%","","83.9%","","84.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","87.5%","","92.8%","","88.7%","","87.3%","","79.7%","","91.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","25.4%","","33.3%","","19.2%","","18.2%","","20.5%","","30.5%",""
"With a disability, under age 65 years, percent, 2017-2021","","11.8%","","9.1%","","11.7%","","13.4%","","17.2%","","11.1%",""
"Persons  without health insurance, under age 65 years, percent","","5.3%","","5.5%","","5.6%","","5.6%","","9.4%","","5.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","56.0%","","56.8%","","59.0%","","58.7%","","49.5%","","56.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","54.8%","","53.5%","","55.9%","","55.8%","","41.3%","","57.2%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","173,636","","165,491","","57,084","","70,040","","28,325","","187,735",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","582,587","","774,067","","414,388","","315,990","","1,630","","175,169",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","234,209","","35,179","","105,429","","110,318","","2,322","","9,621",""
"Total retail sales, 2017 ($1,000)","(c)","1,409,426","","907,921","","705,906","","752,515","","37,844","","501,951",""
"Total retail sales per capita, 2017","(c)","$17,488","","$15,143","","$14,347","","$13,983","","$8,453","","$13,378",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","19.7","","23.2","","24.0","","24.8","","20.8","","22.6",""
"Median household income (in 2021 dollars), 2017-2021","","$62,470","","$60,523","","$53,533","","$55,240","","$62,841","","$61,563",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$31,726","","$32,226","","$27,871","","$30,539","","$30,476","","$34,555",""
"Persons in poverty, percent","","15.1%","","13.8%","","15.0%","","13.6%","","9.6%","","11.3%",""
"Total employer establishments, 2020","","1,756","","1,298","","1,034","","1,130","","185","","1,145",""
"Total employment, 2020","","24,904","","18,912","","16,165","","13,957","","899","","9,994",""
"Total annual payroll, 2020 ($1,000)","","1,006,989","","805,795","","643,587","","535,217","","31,776","","436,356",""
"Total employment, percent change, 2019-2020","","-2.8%","","-1.7%","","1.4%","","-0.7%","","-4.2%","","-1.0%",""
"Total nonemployer establishments, 2019","","4,006","","4,277","","2,565","","2,728","","524","","3,055",""
"All employer firms, Reference year 2017","","1,474","","1,104","","783","","832","","151","","929",""
"Men-owned employer firms, Reference year 2017","","768","","649","","480","","432","","S","","459",""
"Women-owned employer firms, Reference year 2017","","S","","159","","122","","S","","S","","S",""
"Minority-owned employer firms, Reference year 2017","","67","","S","","S","","S","","S","","61",""
"Nonminority-owned employer firms, Reference year 2017","","1,172","","873","","605","","662","","121","","728",""
"Veteran-owned employer firms, Reference year 2017","","S","","S","","S","","20","","S","","S",""
"Nonveteran-owned employer firms, Reference year 2017","","1,093","","839","","607","","687","","130","","684",""
"Population per square mile, 2020","","76.9","","58.4","","122.9","","107.6","","3.0","","20.8",""
"Population per square mile, 2010","","79.1","","62.2","","124.6","","112.1","","2.8","","21.9",""
"Land area in square miles, 2020","","1,037.75","","1,001.74","","403.11","","495.46","","1,717.38","","1,794.12",""
"Land area in square miles, 2010","","1,037.85","","1,001.70","","403.04","","495.47","","1,717.37","","1,794.23",""
"FIPS Code","","""36019""","","""36077""","","""36057""","","""36035""","","""36041""","","""36031""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"None","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
