"Fact","Fact Note","Cortland County, New York","Value Note for Cortland County, New York","Onondaga County, New York","Value Note for Onondaga County, New York","Broome County, New York","Value Note for Broome County, New York","Chenango County, New York","Value Note for Chenango County, New York","Madison County, New York","Value Note for Madison County, New York","Oswego County, New York","Value Note for Oswego County, New York"
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","84.3%","","86.0%","","84.7%","","87.7%","","90.2%","","86.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","4.6%","","10.6%","","9.7%","","3.2%","","4.2%","","3.8%",""
"Households with a computer, percent, 2017-2021","","91.9%","","91.1%","","90.2%","","89.8%","","89.8%","","92.4%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","80.7%","","85.0%","","85.3%","","83.4%","","84.7%","","87.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","90.1%","","91.3%","","90.6%","","88.8%","","92.8%","","89.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","28.1%","","36.5%","","28.9%","","18.3%","","26.2%","","20.8%",""
"With a disability, under age 65 years, percent, 2017-2021","","9.6%","","9.9%","","12.1%","","14.6%","","9.2%","","11.0%",""
"Persons  without health insurance, under age 65 years, percent","","5.0%","","4.8%","","5.2%","","5.0%","","4.6%","","5.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","63.4%","","62.0%","","56.6%","","59.4%","","57.5%","","61.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","59.4%","","58.7%","","53.0%","","55.5%","","53.9%","","58.0%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","150,910","","1,137,141","","448,487","","44,763","","110,035","","181,890",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","273,559","","5,179,422","","1,758,495","","172,012","","312,409","","387,483",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","27,025","","1,111,572","","162,280","","20,407","","32,456","","38,252",""
"Total retail sales, 2017 ($1,000)","(c)","723,450","","7,365,633","","2,735,985","","478,708","","834,512","","1,417,277",""
"Total retail sales per capita, 2017","(c)","$15,124","","$15,948","","$14,157","","$10,006","","$11,755","","$11,966",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","21.4","","20.1","","19.4","","23.7","","23.9","","24.7",""
"Median household income (in 2021 dollars), 2017-2021","","$62,163","","$66,012","","$53,982","","$55,690","","$63,312","","$61,983",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$30,584","","$36,338","","$31,224","","$29,992","","$34,302","","$31,565",""
"Persons in poverty, percent","","11.0%","","14.2%","","14.1%","","13.3%","","10.4%","","15.7%",""
"Total employer establishments, 2020","","1,019","","11,322","","4,056","","830","","1,313","","2,080",""
"Total employment, 2020","","15,065","","222,141","","69,271","","13,483","","17,329","","23,341",""
"Total annual payroll, 2020 ($1,000)","","554,119","","10,761,816","","3,062,933","","665,811","","670,136","","1,078,759",""
"Total employment, percent change, 2019-2020","","0.6%","","0.8%","","-3.3%","","0.6%","","-0.9%","","-2.8%",""
"Total nonemployer establishments, 2019","","2,416","","30,051","","10,090","","2,702","","4,323","","5,542",""
"All employer firms, Reference year 2017","","947","","9,250","","3,120","","695","","1,226","","1,788",""
"Men-owned employer firms, Reference year 2017","","606","","5,829","","1,935","","387","","727","","1,098",""
"Women-owned employer firms, Reference year 2017","","126","","1,648","","S","","140","","234","","S",""
"Minority-owned employer firms, Reference year 2017","","S","","620","","236","","S","","S","","54",""
"Nonminority-owned employer firms, Reference year 2017","","695","","7,388","","2,383","","569","","982","","1,489",""
"Veteran-owned employer firms, Reference year 2017","","S","","552","","199","","S","","78","","98",""
"Nonveteran-owned employer firms, Reference year 2017","","710","","7,271","","2,386","","533","","965","","1,419",""
"Population per square mile, 2020","","93.8","","612.2","","281.6","","52.8","","103.9","","123.5",""
"Population per square mile, 2010","","98.9","","600.0","","284.2","","56.5","","112.2","","128.3",""
"Land area in square miles, 2020","","498.77","","778.39","","705.64","","893.59","","654.85","","951.65",""
"Land area in square miles, 2010","","498.76","","778.39","","705.77","","893.55","","654.84","","951.65",""
"FIPS Code","","""36023""","","""36067""","","""36007""","","""36017""","","""36053""","","""36075""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"None","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
