"Fact","Fact Note","Livingston County, New York","Value Note for Livingston County, New York","Monroe County, New York","Value Note for Monroe County, New York","Steuben County, New York","Value Note for Steuben County, New York","Yates County, New York","Value Note for Yates County, New York","Ontario County, New York","Value Note for Ontario County, New York","Wayne County, New York","Value Note for Wayne County, New York"
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%","","0.1%","","Z","","Z","","0.1%","","0.1%",""
"Two or More Races, percent","","1.7%","","2.9%","","1.7%","","1.2%","","2.0%","","2.4%",""
"Hispanic or Latino, percent","(b)","4.1%","","9.6%","","1.8%","","2.2%","","5.2%","","4.8%",""
"White alone, not Hispanic or Latino, percent","","90.2%","","69.8%","","93.3%","","94.8%","","89.1%","","89.4%",""
"Veterans, 2017-2021","","3,701","","32,405","","7,023","","1,407","","6,209","","5,825",""
"Foreign born persons, percent, 2017-2021","","3.7%","","8.5%","","3.6%","","1.7%","","3.8%","","2.7%",""
"Housing units, July 1, 2021, (V2021)","","27,163","","338,052","","47,576","","13,135","","52,930","","42,364",""
"Owner-occupied housing unit rate, 2017-2021","","76.3%","","63.7%","","73.4%","","76.2%","","73.3%","","78.1%",""
"Median value of owner-occupied housing units, 2017-2021","","$142,000","","$160,000","","$108,100","","$146,600","","$169,200","","$134,800",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$1,357","","$1,461","","$1,232","","$1,239","","$1,461","","$1,379",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$609","","$663","","$507","","$560","","$616","","$572",""
"Median gross rent, 2017-2021","","$843","","$991","","$755","","$723","","$962","","$810",""
"Building permits, 2021","","34","","1,067","","118","","68","","437","","137",""
"Households, 2017-2021","","24,012","","311,955","","38,650","","8,594","","46,547","","37,771",""
"Persons per household, 2017-2021","","2.34","","2.34","","2.39","","2.74","","2.33","","2.38",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","85.7%","","86.0%","","89.7%","","93.5%","","87.3%","","90.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","7.3%","","13.4%","","5.7%","","14.8%","","6.4%","","5.3%",""
"Households with a computer, percent, 2017-2021","","91.4%","","92.3%","","89.6%","","80.0%","","92.6%","","91.3%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","86.4%","","87.4%","","83.8%","","76.9%","","88.1%","","85.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","91.9%","","91.1%","","91.5%","","86.2%","","93.3%","","90.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","28.9%","","40.0%","","25.5%","","24.5%","","37.5%","","24.4%",""
"With a disability, under age 65 years, percent, 2017-2021","","8.8%","","10.8%","","11.3%","","8.0%","","8.9%","","10.7%",""
"Persons  without health insurance, under age 65 years, percent","","5.2%","","4.6%","","6.1%","","8.0%","","4.6%","","6.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","57.5%","","63.8%","","59.4%","","56.9%","","62.9%","","62.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","56.1%","","60.5%","","56.1%","","51.8%","","59.4%","","58.6%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","102,473","","1,593,440","","139,159","","26,115","","283,235","","78,377",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","164,792","","7,178,969","","572,639","","67,678","","755,801","","228,084",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","28,278","","778,614","","112,928","","14,359","","129,314","","34,592",""
"Total retail sales, 2017 ($1,000)","(c)","700,000","","10,123,106","","1,229,718","","194,639","","2,309,861","","997,103",""
"Total retail sales per capita, 2017","(c)","$11,023","","$13,615","","$12,759","","$7,779","","$21,065","","$11,026",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","24.7","","20.1","","22.0","","21.6","","23.4","","24.6",""
"Median household income (in 2021 dollars), 2017-2021","","$64,467","","$66,317","","$58,652","","$57,635","","$70,694","","$64,152",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$33,015","","$37,599","","$32,442","","$28,832","","$39,751","","$33,705",""
"Persons in poverty, percent","","12.0%","","13.3%","","13.7%","","10.6%","","7.8%","","10.0%",""
"Total employer establishments, 2020","","1,211","","17,383","","1,743","","525","","2,866","","1,683",""
"Total employment, 2020","","13,634","","354,169","","25,344","","4,990","","46,659","","20,360",""
"Total annual payroll, 2020 ($1,000)","","518,084","","17,163,728","","1,456,984","","166,307","","2,434,189","","905,367",""
"Total employment, percent change, 2019-2020","","-0.2%","","-2.1%","","-1.1%","","-5.4%","","-3.9%","","0.9%",""
"Total nonemployer establishments, 2019","","3,517","","48,243","","5,068","","1,989","","7,302","","4,835",""
"All employer firms, Reference year 2017","","985","","14,130","","1,464","","564","","2,554","","1,494",""
"Men-owned employer firms, Reference year 2017","","563","","9,151","","881","","355","","1,625","","990",""
"Women-owned employer firms, Reference year 2017","","181","","2,709","","224","","S","","336","","S",""
"Minority-owned employer firms, Reference year 2017","","S","","1,323","","S","","S","","S","","69",""
"Nonminority-owned employer firms, Reference year 2017","","810","","11,368","","1,161","","463","","2,074","","1,249",""
"Veteran-owned employer firms, Reference year 2017","","S","","S","","S","","34","","202","","S",""
"Nonveteran-owned employer firms, Reference year 2017","","778","","11,863","","1,133","","428","","1,923","","1,191",""
"Population per square mile, 2020","","97.9","","1,156.0","","67.3","","73.3","","174.6","","151.2",""
"Population per square mile, 2010","","103.5","","1,132.6","","71.2","","75.0","","167.6","","155.3",""
"Land area in square miles, 2020","","631.76","","656.94","","1,390.51","","338.14","","644.08","","603.83",""
"Land area in square miles, 2010","","631.76","","657.21","","1,390.56","","338.14","","644.07","","603.83",""
"FIPS Code","","""36051""","","""36055""","","""36101""","","""36123""","","""36069""","","""36117""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"None","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
