"Fact","Fact Note","Warren County, New York","Value Note for Warren County, New York","Delaware County, New York","Value Note for Delaware County, New York","Schoharie County, New York","Value Note for Schoharie County, New York","Schenectady County, New York","Value Note for Schenectady County, New York","Saratoga County, New York","Value Note for Saratoga County, New York","Washington County, New York","Value Note for Washington County, New York"
"Median value of owner-occupied housing units, 2017-2021","","$214,300","","$147,600","","$151,700","","$178,000","","$273,500","","$158,100",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$1,574","","$1,231","","$1,426","","$1,619","","$1,841","","$1,413",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$554","","$525","","$567","","$646","","$653","","$564",""
"Median gross rent, 2017-2021","","$969","","$723","","$847","","$1,018","","$1,198","","$893",""
"Building permits, 2021","","280","","83","","55","","437","","1,086","","104",""
"Households, 2017-2021","","29,261","","18,487","","12,110","","61,038","","97,829","","24,073",""
"Persons per household, 2017-2021","","2.21","","2.29","","2.36","","2.50","","2.36","","2.42",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","87.8%","","89.3%","","89.1%","","88.0%","","88.6%","","88.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","4.0%","","6.0%","","5.5%","","9.0%","","6.7%","","5.1%",""
"Households with a computer, percent, 2017-2021","","90.4%","","87.9%","","88.4%","","93.4%","","94.2%","","90.8%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","86.1%","","81.7%","","80.1%","","87.3%","","90.9%","","83.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","91.5%","","90.1%","","90.6%","","91.3%","","93.7%","","88.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","33.1%","","23.0%","","23.2%","","33.3%","","42.7%","","20.6%",""
"With a disability, under age 65 years, percent, 2017-2021","","11.2%","","12.4%","","11.9%","","9.3%","","7.4%","","11.0%",""
"Persons  without health insurance, under age 65 years, percent","","5.3%","","6.0%","","5.2%","","4.4%","","3.8%","","5.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","61.1%","","53.5%","","57.4%","","62.5%","","66.2%","","58.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","57.3%","","49.8%","","53.3%","","59.5%","","62.2%","","57.4%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","420,855","","43,246","","34,850","","261,361","","688,968","","42,334",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","774,281","","178,959","","71,886","","1,179,559","","1,149,166","","105,642",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","67,689","","31,976","","30,327","","138,275","","149,735","","22,349",""
"Total retail sales, 2017 ($1,000)","(c)","1,590,365","","462,341","","286,981","","1,938,234","","3,289,037","","603,887",""
"Total retail sales per capita, 2017","(c)","$24,693","","$10,260","","$9,180","","$12,528","","$14,343","","$9,803",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","22.1","","26.0","","31.6","","22.8","","25.2","","25.7",""
"Median household income (in 2021 dollars), 2017-2021","","$68,765","","$52,757","","$64,220","","$69,891","","$90,800","","$63,869",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$41,247","","$30,547","","$33,957","","$35,747","","$47,902","","$30,547",""
"Persons in poverty, percent","","10.2%","","15.9%","","12.9%","","12.9%","","7.7%","","12.3%",""
"Total employer establishments, 2020","","2,186","","1,047","","564","","2,933","","5,365","","1,027",""
"Total employment, 2020","","30,940","","9,973","","4,975","","53,356","","75,962","","10,653",""
"Total annual payroll, 2020 ($1,000)","","1,357,237","","513,995","","195,071","","2,965,880","","3,830,262","","459,934",""
"Total employment, percent change, 2019-2020","","-2.1%","","-2.2%","","-8.8%","","-4.1%","","2.0%","","0.8%",""
"Total nonemployer establishments, 2019","","4,948","","3,728","","1,888","","9,259","","17,512","","3,682",""
"All employer firms, Reference year 2017","","2,180","","825","","592","","2,550","","4,282","","830",""
"Men-owned employer firms, Reference year 2017","","1,246","","467","","S","","1,678","","2,549","","426",""
"Women-owned employer firms, Reference year 2017","","419","","100","","112","","363","","738","","S",""
"Minority-owned employer firms, Reference year 2017","","119","","S","","S","","208","","231","","S",""
"Nonminority-owned employer firms, Reference year 2017","","1,788","","681","","S","","1,996","","3,522","","679",""
"Veteran-owned employer firms, Reference year 2017","","77","","S","","S","","133","","186","","24",""
"Nonveteran-owned employer firms, Reference year 2017","","1,809","","616","","S","","2,043","","3,457","","679",""
"Population per square mile, 2020","","75.8","","30.7","","47.8","","772.6","","290.8","","73.8",""
"Population per square mile, 2010","","75.8","","33.3","","52.7","","756.6","","271.1","","76.1",""
"Land area in square miles, 2020","","867.22","","1,442.60","","621.82","","204.58","","810.00","","831.17",""
"Land area in square miles, 2010","","866.95","","1,442.44","","621.82","","204.52","","809.98","","831.18",""
"FIPS Code","","""36113""","","""36025""","","""36095""","","""36093""","","""36091""","","""36115""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"None","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
