"Fact","Fact Note","Erie County, New York","Value Note for Erie County, New York","Niagara County, New York","Value Note for Niagara County, New York","Allegany County, New York","Value Note for Allegany County, New York","Wyoming County, New York","Value Note for Wyoming County, New York","Orleans County, New York","Value Note for Orleans County, New York","Genesee County, New York","Value Note for Genesee County, New York"
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","92.1%","","91.6%","","91.0%","","88.4%","","87.0%","","92.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","35.9%","","26.3%","","22.4%","","18.1%","","17.2%","","22.0%",""
"With a disability, under age 65 years, percent, 2017-2021","","9.7%","","10.9%","","11.9%","","8.7%","","12.2%","","11.2%",""
"Persons  without health insurance, under age 65 years, percent","","4.2%","","4.6%","","5.2%","","4.8%","","5.1%","","4.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","63.0%","","60.9%","","53.6%","","57.0%","","54.8%","","64.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","59.4%","","57.7%","","52.1%","","57.9%","","50.5%","","61.2%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","2,373,674","","834,387","","69,286","","37,148","","35,255","","103,451",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","9,058,246","","873,688","","133,293","","130,469","","92,762","","270,241",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","2,065,135","","284,562","","12,319","","48,560","","27,484","","32,345",""
"Total retail sales, 2017 ($1,000)","(c)","13,619,165","","2,721,401","","247,600","","392,409","","325,407","","889,560",""
"Total retail sales per capita, 2017","(c)","$14,813","","$12,903","","$5,305","","$9,738","","$7,973","","$15,383",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","21.2","","22.8","","22.4","","25.3","","25.3","","23.4",""
"Median household income (in 2021 dollars), 2017-2021","","$62,578","","$60,834","","$54,375","","$60,013","","$54,882","","$63,734",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$36,530","","$33,465","","$26,388","","$32,139","","$29,085","","$32,477",""
"Persons in poverty, percent","","13.7%","","13.0%","","14.6%","","9.4%","","16.1%","","9.6%",""
"Total employer establishments, 2020","","22,412","","4,516","","737","","764","","638","","1,245",""
"Total employment, 2020","","423,814","","61,980","","10,977","","8,588","","7,565","","16,611",""
"Total annual payroll, 2020 ($1,000)","","20,275,413","","2,249,803","","390,839","","353,601","","290,048","","662,802",""
"Total employment, percent change, 2019-2020","","-0.8%","","-2.1%","","-0.8%","","-1.5%","","-1.5%","","-2.5%",""
"Total nonemployer establishments, 2019","","54,312","","10,449","","2,438","","2,074","","1,889","","2,975",""
"All employer firms, Reference year 2017","","17,588","","3,960","","621","","681","","551","","1,013",""
"Men-owned employer firms, Reference year 2017","","11,332","","2,509","","337","","456","","338","","617",""
"Women-owned employer firms, Reference year 2017","","3,187","","654","","S","","S","","80","","150",""
"Minority-owned employer firms, Reference year 2017","","1,381","","311","","23","","S","","34","","49",""
"Nonminority-owned employer firms, Reference year 2017","","14,414","","3,200","","480","","563","","432","","800",""
"Veteran-owned employer firms, Reference year 2017","","992","","S","","S","","S","","29","","S",""
"Nonveteran-owned employer firms, Reference year 2017","","14,533","","3,262","","454","","535","","404","","765",""
"Population per square mile, 2020","","915.1","","407.1","","45.1","","68.4","","103.1","","118.4",""
"Population per square mile, 2010","","881.4","","414.4","","47.6","","71.1","","109.6","","121.9",""
"Land area in square miles, 2020","","1,042.73","","522.35","","1,029.44","","592.75","","391.26","","492.94",""
"Land area in square miles, 2010","","1,042.69","","522.36","","1,029.31","","592.75","","391.26","","492.94",""
"FIPS Code","","""36029""","","""36063""","","""36003""","","""36121""","","""36073""","","""36037""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"None","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
