"Fact","Fact Note","Chemung County, New York","Value Note for Chemung County, New York","Schuyler County, New York","Value Note for Schuyler County, New York","Seneca County, New York","Value Note for Seneca County, New York","Tioga County, New York","Value Note for Tioga County, New York","Tompkins County, New York","Value Note for Tompkins County, New York","Cayuga County, New York","Value Note for Cayuga County, New York"
"Owner-occupied housing unit rate, 2017-2021","","68.2%","","75.4%","","73.0%","","78.0%","","54.2%","","70.5%",""
"Median value of owner-occupied housing units, 2017-2021","","$114,600","","$134,400","","$111,800","","$122,900","","$228,900","","$138,200",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$1,223","","$1,300","","$1,170","","$1,329","","$1,782","","$1,359",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$509","","$538","","$549","","$535","","$725","","$585",""
"Median gross rent, 2017-2021","","$918","","$753","","$828","","$829","","$1,218","","$799",""
"Building permits, 2021","","138","","80","","40","","163","","644","","72",""
"Households, 2017-2021","","34,223","","7,542","","13,603","","20,316","","42,889","","30,604",""
"Persons per household, 2017-2021","","2.33","","2.35","","2.28","","2.36","","2.14","","2.36",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","89.4%","","93.5%","","87.0%","","90.1%","","72.5%","","87.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","4.1%","","3.2%","","7.4%","","2.5%","","16.0%","","3.9%",""
"Households with a computer, percent, 2017-2021","","90.7%","","89.7%","","90.6%","","91.0%","","95.3%","","89.6%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","84.2%","","81.5%","","83.4%","","86.9%","","87.2%","","83.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","89.5%","","90.8%","","84.7%","","92.7%","","95.0%","","88.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","23.9%","","24.3%","","21.5%","","25.8%","","55.3%","","22.2%",""
"With a disability, under age 65 years, percent, 2017-2021","","11.5%","","11.4%","","12.1%","","11.5%","","7.6%","","10.1%",""
"Persons  without health insurance, under age 65 years, percent","","5.0%","","4.9%","","6.3%","","4.5%","","4.5%","","5.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","57.5%","","58.0%","","57.1%","","61.0%","","59.2%","","57.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","55.7%","","53.7%","","59.4%","","55.7%","","57.8%","","56.7%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","157,451","","45,324","","204,898","","44,569","","279,394","","111,983",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","650,790","","55,582","","85,189","","64,807","","643,164","","361,020",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","307,203","","66,619","","78,021","","31,998","","93,970","","192,208",""
"Total retail sales, 2017 ($1,000)","(c)","1,378,836","","152,658","","505,695","","350,322","","1,194,095","","886,842",""
"Total retail sales per capita, 2017","(c)","$16,255","","$8,524","","$14,746","","$7,200","","$11,624","","$11,444",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","19.3","","28.4","","21.8","","23.6","","20.1","","22.8",""
"Median household income (in 2021 dollars), 2017-2021","","$58,175","","$56,437","","$59,086","","$64,987","","$64,260","","$59,602",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$31,379","","$31,171","","$30,732","","$34,101","","$37,250","","$32,690",""
"Persons in poverty, percent","","14.9%","","13.6%","","13.4%","","11.7%","","16.2%","","14.8%",""
"Total employer establishments, 2020","","1,691","","359","","706","","745","","2,269","","1,534",""
"Total employment, 2020","","30,929","","3,600","","10,032","","10,365","","48,904","","18,602",""
"Total annual payroll, 2020 ($1,000)","","1,275,336","","137,886","","361,117","","572,832","","2,160,017","","729,880",""
"Total employment, percent change, 2019-2020","","-0.3%","","-1.7%","","-3.0%","","28.6%","","-3.5%","","-3.4%",""
"Total nonemployer establishments, 2019","","3,894","","1,225","","1,920","","2,770","","7,685","","4,246",""
"All employer firms, Reference year 2017","","1,492","","364","","609","","687","","2,041","","1,444",""
"Men-owned employer firms, Reference year 2017","","845","","228","","321","","373","","1,022","","806",""
"Women-owned employer firms, Reference year 2017","","220","","S","","S","","172","","403","","181",""
"Minority-owned employer firms, Reference year 2017","","70","","S","","S","","S","","103","","S",""
"Nonminority-owned employer firms, Reference year 2017","","1,158","","310","","443","","549","","1,523","","1,142",""
"Veteran-owned employer firms, Reference year 2017","","54","","S","","S","","S","","S","","S",""
"Nonveteran-owned employer firms, Reference year 2017","","1,163","","295","","387","","568","","1,541","","1,079",""
"Population per square mile, 2020","","206.6","","54.5","","104.5","","93.4","","222.8","","110.3",""
"Population per square mile, 2010","","218.1","","55.9","","108.9","","98.6","","214.0","","115.7",""
"Land area in square miles, 2020","","407.33","","328.34","","323.70","","518.77","","474.64","","691.58",""
"Land area in square miles, 2010","","407.35","","328.33","","323.71","","518.60","","474.65","","691.58",""
"FIPS Code","","""36015""","","""36097""","","""36099""","","""36107""","","""36109""","","""36011""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"None","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
